#!R id, size(byte), deadline, <virtual link id>, type [ST], priority, [period | rate] (us)
Flow100, 562, 1000, vl0, TT, 1000, 0.0
Flow101, 1160, 1000, vl1, TT, 1000, 0.0
Flow102, 802, 10000, vl2, TT, 10000, 0.0
Flow103, 1174, 2000, vl3, TT, 2000, 0.0
Flow104, 1449, 5000, vl4, TT, 5000, 0.0
Flow105, 950, 2000, vl5, TT, 2000, 0.0
Flow106, 870, 10000, vl6, TT, 10000, 0.0
Flow107, 286, 1000, vl7, TT, 1000, 0.0
Flow108, 503, 10000, vl8, TT, 10000, 0.0
Flow109, 1268, 10000, vl9, TT, 10000, 0.0
Flow110, 826, 5000, vl10, TT, 5000, 0.0
Flow111, 698, 2000, vl11, TT, 2000, 0.0
Flow112, 98, 1000, vl12, TT, 1000, 0.0
Flow113, 300, 1000, vl13, TT, 1000, 0.0
Flow114, 593, 5000, vl14, TT, 5000, 0.0


Flow0, 174, 5000, vl0, SP0, 5000, 0.0
Flow1, 142, 2000, vl1, SP0, 2000, 0.0
Flow2, 838, 5000, vl2, SP0, 5000, 0.0
Flow3, 100, 5000, vl3, SP0, 5000, 0.0
Flow4, 126, 5000, vl4, SP0, 5000, 0.0
Flow5, 253, 2000, vl5, SP0, 2000, 0.0
Flow6, 193, 10000, vl6, SP0, 10000, 0.0
Flow7, 148, 10000, vl7, SP0, 10000, 0.0
Flow8, 81, 10000, vl8, SP0, 10000, 0.0
Flow9, 355, 10000, vl9, SP0, 10000, 0.0
Flow10, 300, 10000, vl10, SP0, 10000, 0.0
Flow11, 1222, 5000, vl11, SP0, 5000, 0.0
Flow12, 518, 10000, vl12, SP0, 10000, 0.0
Flow13, 135, 10000, vl13, SP0, 10000, 0.0
Flow14, 305, 2000, vl14, SP0, 2000, 0.0
Flow15, 174, 5000, vl0, SP0, 5000, 0.0
Flow16, 142, 2000, vl1, SP0, 2000, 0.0
Flow17, 838, 5000, vl2, SP0, 5000, 0.0
Flow18, 1200, 5000, vl3, SP0, 5000, 0.0
Flow19, 1426, 5000, vl4, SP0, 5000, 0.0
Flow20, 253, 2000, vl5, SP0, 2000, 0.0
Flow21, 893, 10000, vl6, SP0, 10000, 0.0
Flow22, 748, 10000, vl7, SP0, 10000, 0.0
Flow23, 81, 10000, vl8, SP0, 10000, 0.0
Flow24, 255, 1000, vl9, SP0, 1000, 0.0
Flow25, 300, 10000, vl10, SP0, 10000, 0.0
Flow26, 322, 5000, vl11, SP0, 5000, 0.0
Flow27, 518, 10000, vl12, SP0, 10000, 0.0
Flow28, 125, 10000, vl13, SP0, 10000, 0.0
Flow29, 305, 2000, vl14, SP0, 2000, 0.0
