ES1,SW1
0	48.32	Stream0		0
217	243.24	Stream7		0
313	324.2	Stream12 	0
1000	1048.32	Stream0	1
1217	1243.24	Stream7	1
1313	1324.2	Stream12	1
2000	2048.32	Stream0	2
2217	2243.24	Stream7	2
2313	2324.2	Stream12	2
3000	3048.32	Stream0	3
3217	3243.24	Stream7	3
3313	3324.2	Stream12	3
4000	4048.32	Stream0	4
4217	4243.24	Stream7	4
4313	4324.2	Stream12	4
5000	5048.32	Stream0	5
5217	5243.24	Stream7	5
5313	5324.2	Stream12	5
6000	6048.32	Stream0	6
6217	6243.24	Stream7	6
6313	6324.2	Stream12	6
7000	7048.32	Stream0	7
7217	7243.24	Stream7	7
7313	7324.2	Stream12	7
8000	8048.32	Stream0	8
8217	8243.24	Stream7	8
8313	8324.2	Stream12	8
9000	9048.32	Stream0	9
9217	9243.24	Stream7	9
9313	9324.2	Stream12	9
10000	10048.32	Stream0	10
10217	10243.24	Stream7	10
10313	10324.2	Stream12	10

SW1,SW3
54	102.32	Stream0	0
103	130.36	Stream13	0
211	307.16	Stream1	0
313	339.24	Stream7	0
410	421.2	Stream12	0
489	556.52	Stream2	0
619	691.96	Stream6	0
1054	1102.32	Stream0	1
1103	1130.36	Stream13	1
1211	1307.16	Stream1	1
1313	1339.24	Stream7	1
1410	1421.2	Stream12	1
2054	2102.32	Stream0	2
2103	2130.36	Stream13	2
2211	2307.16	Stream1	2
2313	2339.24	Stream7	2
2410	2421.2	Stream12	2
3054	3102.32	Stream0	3
3103	3130.36	Stream13	3
3211	3307.16	Stream1	3
3313	3339.24	Stream7	3
3410	3421.2	Stream12	3
4054	4102.32	Stream0	4
4103	4130.36	Stream13	4
4211	4307.16	Stream1	4
4313	4339.24	Stream7	4
4410	4421.2	Stream12	4
5054	5102.32	Stream0	5
5103	5130.36	Stream13	5
5211	5307.16	Stream1	5
5313	5339.24	Stream7	5
5410	5421.2	Stream12	5
6054	6102.32	Stream0	6
6103	6130.36	Stream13	6
6211	6307.16	Stream1	6
6313	6339.24	Stream7	6
6410	6421.2	Stream12	6
7054	7102.32	Stream0	7
7103	7130.36	Stream13	7
7211	7307.16	Stream1	7
7313	7339.24	Stream7	7
7410	7421.2	Stream12	7
8054	8102.32	Stream0	8
8103	8130.36	Stream13	8
8211	8307.16	Stream1	8
8313	8339.24	Stream7	8
8410	8421.2	Stream12	8
9054	9102.32	Stream0	9
9103	9130.36	Stream13	9
9211	9307.16	Stream1	9
9313	9339.24	Stream7	9
9410	9421.2	Stream12	9
10054	10102.32	Stream0	10
10103	10130.36	Stream13	10
10211	10307.16	Stream1	10
10313	10339.24	Stream7	10
10410	10421.2	Stream12	10

SW3,ES7
108	156.32	Stream0	0
217	314.28	Stream3	0
1108	1156.32	Stream0	1
2108	2156.32	Stream0	2
2217	2314.28	Stream3	1
3108	3156.32	Stream0	3
4108	4156.32	Stream0	4
4217	4314.28	Stream3	2
5108	5156.32	Stream0	5
6108	6156.32	Stream0	6
6217	6314.28	Stream3	3
7108	7156.32	Stream0	7
8108	8156.32	Stream0	8
8217	8314.28	Stream3	4
9108	9156.32	Stream0	9
10108	10156.32	Stream0	10
10217	10314.28	Stream3	5

ES3,SW1
60	87.36	Stream13	0
416	483.52	Stream2	0
489	561.96	Stream6	0
1060	1087.36	Stream13	1
2060	2087.36	Stream13	2
3060	3087.36	Stream13	3
4060	4087.36	Stream13	4
5060	5087.36	Stream13	5
6060	6087.36	Stream13	6
7060	7087.36	Stream13	7
8060	8087.36	Stream13	8
